Year,State,Tobacco Use,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group),Disparity Value
2022,District of Columbia,Cigarette Use among Adults,Education,High School,16.2,Graduated from college,5.0,3.2
2022,District of Columbia,Cigarette Use among Adults,Education,High School,16.2,Less than High School,33.6,0.5
2022,District of Columbia,Cigarette Use among Adults,Education,Less than High School,33.6,Graduated from college,5.0,6.7
2022,District of Columbia,Cigarette Use among Adults,Education,Less than High School,33.6,High School,16.2,2.1
2022,Florida,Cigarette Use among Adults,Education,Graduated from college,5.5,High School,12.9,0.4
2022,Florida,Cigarette Use among Adults,Education,Graduated from college,5.5,Less than High School,17.7,0.3
2022,Florida,Cigarette Use among Adults,Education,High School,12.9,Graduated from college,5.5,2.4
2022,Florida,Cigarette Use among Adults,Education,High School,12.9,Less than High School,17.7,0.7
2022,Florida,Cigarette Use among Adults,Education,Less than High School,17.7,Graduated from college,5.5,3.2
2022,Florida,Cigarette Use among Adults,Education,Less than High School,17.7,High School,12.9,1.4
2022,Georgia,Cigarette Use among Adults,Education,Graduated from college,5.8,High School,13.6,0.4
2022,Georgia,Cigarette Use among Adults,Education,Graduated from college,5.8,Less than High School,23.9,0.2
2022,Georgia,Cigarette Use among Adults,Education,High School,13.6,Graduated from college,5.8,2.3
2022,Georgia,Cigarette Use among Adults,Education,High School,13.6,Less than High School,23.9,0.6
2022,Georgia,Cigarette Use among Adults,Education,Less than High School,23.9,Graduated from college,5.8,4.1
2022,Georgia,Cigarette Use among Adults,Education,Less than High School,23.9,High School,13.6,1.8
2022,Hawaii,Cigarette Use among Adults,Education,Graduated from college,3.8,High School,11.4,0.3
2022,Hawaii,Cigarette Use among Adults,Education,Graduated from college,3.8,Less than High School,24.6,0.2
2022,Hawaii,Cigarette Use among Adults,Education,High School,11.4,Graduated from college,3.8,3.0
2022,Hawaii,Cigarette Use among Adults,Education,High School,11.4,Less than High School,24.6,0.5
2022,Hawaii,Cigarette Use among Adults,Education,Less than High School,24.6,Graduated from college,3.8,6.5
2022,Hawaii,Cigarette Use among Adults,Education,Less than High School,24.6,High School,11.4,2.2
2022,Idaho,Cigarette Use among Adults,Education,Graduated from college,5.0,High School,12.9,0.4
2022,Idaho,Cigarette Use among Adults,Education,Graduated from college,5.0,Less than High School,24.5,0.2
2022,Idaho,Cigarette Use among Adults,Education,High School,12.9,Graduated from college,5.0,2.6
2022,Idaho,Cigarette Use among Adults,Education,High School,12.9,Less than High School,24.5,0.5
2022,Idaho,Cigarette Use among Adults,Education,Less than High School,24.5,Graduated from college,5.0,4.9
2022,Idaho,Cigarette Use among Adults,Education,Less than High School,24.5,High School,12.9,1.9
2022,Illinois,Cigarette Use among Adults,Education,Graduated from college,4.8,High School,14.9,0.3
2022,Illinois,Cigarette Use among Adults,Education,Graduated from college,4.8,Less than High School,23.2,0.2
2022,Illinois,Cigarette Use among Adults,Education,High School,14.9,Graduated from college,4.8,3.1
2022,Illinois,Cigarette Use among Adults,Education,High School,14.9,Less than High School,23.2,0.6
2022,Illinois,Cigarette Use among Adults,Education,Less than High School,23.2,Graduated from college,4.8,4.8
2022,Illinois,Cigarette Use among Adults,Education,Less than High School,23.2,High School,14.9,1.6
2022,Indiana,Cigarette Use among Adults,Education,Graduated from college,6.3,High School,18.2,0.4
2022,Indiana,Cigarette Use among Adults,Education,Graduated from college,6.3,Less than High School,28.1,0.2
2022,Indiana,Cigarette Use among Adults,Education,High School,18.2,Graduated from college,6.3,2.9
2022,Indiana,Cigarette Use among Adults,Education,High School,18.2,Less than High School,28.1,0.7
2022,Indiana,Cigarette Use among Adults,Education,Less than High School,28.1,Graduated from college,6.3,4.5
2022,Indiana,Cigarette Use among Adults,Education,Less than High School,28.1,High School,18.2,1.5
2022,Iowa,Cigarette Use among Adults,Education,Graduated from college,4.8,High School,17.6,0.3
2022,Iowa,Cigarette Use among Adults,Education,Graduated from college,4.8,Less than High School,25.6,0.2
2022,Iowa,Cigarette Use among Adults,Education,High School,17.6,Graduated from college,4.8,3.7
2022,Iowa,Cigarette Use among Adults,Education,High School,17.6,Less than High School,25.6,0.7
2022,Iowa,Cigarette Use among Adults,Education,Less than High School,25.6,Graduated from college,4.8,5.3
2022,Iowa,Cigarette Use among Adults,Education,Less than High School,25.6,High School,17.6,1.5
2022,Kansas,Cigarette Use among Adults,Education,Graduated from college,5.1,High School,17.0,0.3
2022,Kansas,Cigarette Use among Adults,Education,Graduated from college,5.1,Less than High School,30.1,0.2
2022,Kansas,Cigarette Use among Adults,Education,High School,17.0,Graduated from college,5.1,3.3
2022,Kansas,Cigarette Use among Adults,Education,High School,17.0,Less than High School,30.1,0.6
2022,Kansas,Cigarette Use among Adults,Education,Less than High School,30.1,Graduated from college,5.1,5.9
2022,Kansas,Cigarette Use among Adults,Education,Less than High School,30.1,High School,17.0,1.8
2022,Kentucky,Cigarette Use among Adults,Education,Graduated from college,7.1,High School,19.8,0.4
2022,Kentucky,Cigarette Use among Adults,Education,Graduated from college,7.1,Less than High School,24.7,0.3
2022,Kentucky,Cigarette Use among Adults,Education,High School,19.8,Graduated from college,7.1,2.8
2022,Kentucky,Cigarette Use among Adults,Education,High School,19.8,Less than High School,24.7,0.8
2022,Kentucky,Cigarette Use among Adults,Education,Less than High School,24.7,Graduated from college,7.1,3.5
2022,Kentucky,Cigarette Use among Adults,Education,Less than High School,24.7,High School,19.8,1.3
2022,Louisiana,Cigarette Use among Adults,Education,Graduated from college,6.7,High School,16.6,0.4
2022,Louisiana,Cigarette Use among Adults,Education,Graduated from college,6.7,Less than High School,34.0,0.2
2022,Louisiana,Cigarette Use among Adults,Education,High School,16.6,Graduated from college,6.7,2.5
2022,Louisiana,Cigarette Use among Adults,Education,High School,16.6,Less than High School,34.0,0.5
2022,Louisiana,Cigarette Use among Adults,Education,Less than High School,34.0,Graduated from college,6.7,5.1
2022,Louisiana,Cigarette Use among Adults,Education,Less than High School,34.0,High School,16.6,2.1
2022,Maine,Cigarette Use among Adults,Education,Graduated from college,4.7,High School,17.4,0.3
2022,Maine,Cigarette Use among Adults,Education,Graduated from college,4.7,Less than High School,39.5,0.1
2022,Maine,Cigarette Use among Adults,Education,High School,17.4,Graduated from college,4.7,3.7
2022,Maine,Cigarette Use among Adults,Education,High School,17.4,Less than High School,39.5,0.4
2022,Maine,Cigarette Use among Adults,Education,Less than High School,39.5,Graduated from college,4.7,8.4
2022,Maine,Cigarette Use among Adults,Education,Less than High School,39.5,High School,17.4,2.3
2022,Maryland,Cigarette Use among Adults,Education,Graduated from college,3.8,High School,12.4,0.3
2022,Maryland,Cigarette Use among Adults,Education,Graduated from college,3.8,Less than High School,17.1,0.2
2022,Maryland,Cigarette Use among Adults,Education,High School,12.4,Graduated from college,3.8,3.3
2022,Maryland,Cigarette Use among Adults,Education,High School,12.4,Less than High School,17.1,0.7
2022,Maryland,Cigarette Use among Adults,Education,Less than High School,17.1,Graduated from college,3.8,4.5
2022,Maryland,Cigarette Use among Adults,Education,Less than High School,17.1,High School,12.4,1.4
2022,Massachusetts,Cigarette Use among Adults,Education,Graduated from college,4.1,High School,13.8,0.3
2022,Massachusetts,Cigarette Use among Adults,Education,Graduated from college,4.1,Less than High School,20.4,0.2
2022,Massachusetts,Cigarette Use among Adults,Education,High School,13.8,Graduated from college,4.1,3.4
2022,Massachusetts,Cigarette Use among Adults,Education,High School,13.8,Less than High School,20.4,0.7
2022,Massachusetts,Cigarette Use among Adults,Education,Less than High School,20.4,Graduated from college,4.1,5.0
2022,Massachusetts,Cigarette Use among Adults,Education,Less than High School,20.4,High School,13.8,1.5
2022,Michigan,Cigarette Use among Adults,Education,Graduated from college,5.7,High School,17.4,0.3
2022,Michigan,Cigarette Use among Adults,Education,Graduated from college,5.7,Less than High School,29.4,0.2
2022,Michigan,Cigarette Use among Adults,Education,High School,17.4,Graduated from college,5.7,3.1
2022,Michigan,Cigarette Use among Adults,Education,High School,17.4,Less than High School,29.4,0.6
2022,Michigan,Cigarette Use among Adults,Education,Less than High School,29.4,Graduated from college,5.7,5.2
2022,Michigan,Cigarette Use among Adults,Education,Less than High School,29.4,High School,17.4,1.7
2022,Minnesota,Cigarette Use among Adults,Education,Graduated from college,5.1,High School,15.7,0.3
2022,Minnesota,Cigarette Use among Adults,Education,Graduated from college,5.1,Less than High School,29.0,0.2
2022,Minnesota,Cigarette Use among Adults,Education,High School,15.7,Graduated from college,5.1,3.1
2022,Minnesota,Cigarette Use among Adults,Education,High School,15.7,Less than High School,29.0,0.5
2022,Minnesota,Cigarette Use among Adults,Education,Less than High School,29.0,Graduated from college,5.1,5.7
2022,Minnesota,Cigarette Use among Adults,Education,Less than High School,29.0,High School,15.7,1.9
2022,Mississippi,Cigarette Use among Adults,Education,Graduated from college,6.5,High School,16.9,0.4
2022,Mississippi,Cigarette Use among Adults,Education,Graduated from college,6.5,Less than High School,36.4,0.2
2022,Mississippi,Cigarette Use among Adults,Education,High School,16.9,Graduated from college,6.5,2.6
2022,Mississippi,Cigarette Use among Adults,Education,High School,16.9,Less than High School,36.4,0.5
2022,Mississippi,Cigarette Use among Adults,Education,Less than High School,36.4,Graduated from college,6.5,5.6
2022,Mississippi,Cigarette Use among Adults,Education,Less than High School,36.4,High School,16.9,2.2
2022,Missouri,Cigarette Use among Adults,Education,Graduated from college,7.6,High School,18.6,0.4
2022,Missouri,Cigarette Use among Adults,Education,Graduated from college,7.6,Less than High School,31.8,0.2
2022,Missouri,Cigarette Use among Adults,Education,High School,18.6,Graduated from college,7.6,2.5
2022,Missouri,Cigarette Use among Adults,Education,High School,18.6,Less than High School,31.8,0.6
2022,Missouri,Cigarette Use among Adults,Education,Less than High School,31.8,Graduated from college,7.6,4.2
2022,Missouri,Cigarette Use among Adults,Education,Less than High School,31.8,High School,18.6,1.7
2022,Montana,Cigarette Use among Adults,Education,Graduated from college,7.0,High School,16.7,0.4
2022,Montana,Cigarette Use among Adults,Education,Graduated from college,7.0,Less than High School,38.8,0.2
2022,Montana,Cigarette Use among Adults,Education,High School,16.7,Graduated from college,7.0,2.4
2022,Montana,Cigarette Use among Adults,Education,High School,16.7,Less than High School,38.8,0.4
2022,Montana,Cigarette Use among Adults,Education,Less than High School,38.8,Graduated from college,7.0,5.5
2022,Montana,Cigarette Use among Adults,Education,Less than High School,38.8,High School,16.7,2.3
2022,Nebraska,Cigarette Use among Adults,Education,Graduated from college,6.5,High School,15.1,0.4
2022,Nebraska,Cigarette Use among Adults,Education,Graduated from college,6.5,Less than High School,20.8,0.3
2022,Nebraska,Cigarette Use among Adults,Education,High School,15.1,Graduated from college,6.5,2.3
2022,Nebraska,Cigarette Use among Adults,Education,High School,15.1,Less than High School,20.8,0.7
2022,Nebraska,Cigarette Use among Adults,Education,Less than High School,20.8,Graduated from college,6.5,3.2
2022,Nebraska,Cigarette Use among Adults,Education,Less than High School,20.8,High School,15.1,1.4
2022,Nevada,Cigarette Use among Adults,Education,Graduated from college,6.2,High School,16.2,0.4
2022,Nevada,Cigarette Use among Adults,Education,Graduated from college,6.2,Less than High School,24.4,0.3
2022,Nevada,Cigarette Use among Adults,Education,High School,16.2,Graduated from college,6.2,2.6
2022,Nevada,Cigarette Use among Adults,Education,High School,16.2,Less than High School,24.4,0.7
2022,Nevada,Cigarette Use among Adults,Education,Less than High School,24.4,Graduated from college,6.2,3.9
2022,Nevada,Cigarette Use among Adults,Education,Less than High School,24.4,High School,16.2,1.5
2022,New Hampshire,Cigarette Use among Adults,Education,Graduated from college,3.7,High School,13.6,0.3
2022,New Hampshire,Cigarette Use among Adults,Education,Graduated from college,3.7,Less than High School,33.3,0.1
2022,New Hampshire,Cigarette Use among Adults,Education,High School,13.6,Graduated from college,3.7,3.7
2022,New Hampshire,Cigarette Use among Adults,Education,High School,13.6,Less than High School,33.3,0.4
2022,New Hampshire,Cigarette Use among Adults,Education,Less than High School,33.3,Graduated from college,3.7,9.0
2022,New Hampshire,Cigarette Use among Adults,Education,Less than High School,33.3,High School,13.6,2.5
2022,New Jersey,Cigarette Use among Adults,Education,Graduated from college,4.5,High School,12.8,0.4
2022,New Jersey,Cigarette Use among Adults,Education,Graduated from college,4.5,Less than High School,20.6,0.2
2022,New Jersey,Cigarette Use among Adults,Education,High School,12.8,Graduated from college,4.5,2.8
2022,New Jersey,Cigarette Use among Adults,Education,High School,12.8,Less than High School,20.6,0.6
2022,New Jersey,Cigarette Use among Adults,Education,Less than High School,20.6,Graduated from college,4.5,4.6
2022,New Jersey,Cigarette Use among Adults,Education,Less than High School,20.6,High School,12.8,1.6
2022,New Mexico,Cigarette Use among Adults,Education,Graduated from college,7.4,High School,16.7,0.4
2022,New Mexico,Cigarette Use among Adults,Education,Graduated from college,7.4,Less than High School,21.4,0.4
2022,New Mexico,Cigarette Use among Adults,Education,High School,16.7,Graduated from college,7.4,2.3
2022,New Mexico,Cigarette Use among Adults,Education,High School,16.7,Less than High School,21.4,0.8
2022,New Mexico,Cigarette Use among Adults,Education,Less than High School,21.4,Graduated from college,7.4,2.9
2022,New Mexico,Cigarette Use among Adults,Education,Less than High School,21.4,High School,16.7,1.3
2022,New York,Cigarette Use among Adults,Education,Graduated from college,4.9,High School,14.0,0.4
2022,New York,Cigarette Use among Adults,Education,Graduated from college,4.9,Less than High School,18.1,0.3
2022,New York,Cigarette Use among Adults,Education,High School,14.0,Graduated from college,4.9,2.9
2022,New York,Cigarette Use among Adults,Education,High School,14.0,Less than High School,18.1,0.8
2022,New York,Cigarette Use among Adults,Education,Less than High School,18.1,Graduated from college,4.9,3.7
2022,New York,Cigarette Use among Adults,Education,Less than High School,18.1,High School,14.0,1.3
2022,North Carolina,Cigarette Use among Adults,Education,Graduated from college,5.4,High School,16.4,0.3
2022,North Carolina,Cigarette Use among Adults,Education,Graduated from college,5.4,Less than High School,28.1,0.2
2022,North Carolina,Cigarette Use among Adults,Education,High School,16.4,Graduated from college,5.4,3.0
2022,North Carolina,Cigarette Use among Adults,Education,High School,16.4,Less than High School,28.1,0.6
2022,North Carolina,Cigarette Use among Adults,Education,Less than High School,28.1,Graduated from college,5.4,5.2
2022,North Carolina,Cigarette Use among Adults,Education,Less than High School,28.1,High School,16.4,1.7
2022,North Dakota,Cigarette Use among Adults,Education,Graduated from college,5.7,High School,17.2,0.3
2022,North Dakota,Cigarette Use among Adults,Education,Graduated from college,5.7,Less than High School,32.2,0.2
2022,North Dakota,Cigarette Use among Adults,Education,High School,17.2,Graduated from college,5.7,3.0
2022,North Dakota,Cigarette Use among Adults,Education,High School,17.2,Less than High School,32.2,0.5
2022,North Dakota,Cigarette Use among Adults,Education,Less than High School,32.2,Graduated from college,5.7,5.7
2022,North Dakota,Cigarette Use among Adults,Education,Less than High School,32.2,High School,17.2,1.9
2022,Ohio,Cigarette Use among Adults,Education,Graduated from college,6.2,High School,19.1,0.3
2022,Ohio,Cigarette Use among Adults,Education,Graduated from college,6.2,Less than High School,35.4,0.2
2022,Ohio,Cigarette Use among Adults,Education,High School,19.1,Graduated from college,6.2,3.1
2022,Ohio,Cigarette Use among Adults,Education,High School,19.1,Less than High School,35.4,0.5
2022,Ohio,Cigarette Use among Adults,Education,Less than High School,35.4,Graduated from college,6.2,5.7
2022,Ohio,Cigarette Use among Adults,Education,Less than High School,35.4,High School,19.1,1.9
2022,Oklahoma,Cigarette Use among Adults,Education,Graduated from college,6.3,High School,17.0,0.4
2022,Oklahoma,Cigarette Use among Adults,Education,Graduated from college,6.3,Less than High School,27.3,0.2
2022,Oklahoma,Cigarette Use among Adults,Education,High School,17.0,Graduated from college,6.3,2.7
2022,Oklahoma,Cigarette Use among Adults,Education,High School,17.0,Less than High School,27.3,0.6
2022,Oklahoma,Cigarette Use among Adults,Education,Less than High School,27.3,Graduated from college,6.3,4.3
2022,Oklahoma,Cigarette Use among Adults,Education,Less than High School,27.3,High School,17.0,1.6
2022,Oregon,Cigarette Use among Adults,Education,Graduated from college,5.7,High School,15.2,0.4
2022,Oregon,Cigarette Use among Adults,Education,Graduated from college,5.7,Less than High School,19.0,0.3
2022,Oregon,Cigarette Use among Adults,Education,High School,15.2,Graduated from college,5.7,2.7
2022,Oregon,Cigarette Use among Adults,Education,High School,15.2,Less than High School,19.0,0.8
2022,Oregon,Cigarette Use among Adults,Education,Less than High School,19.0,Graduated from college,5.7,3.3
2022,Oregon,Cigarette Use among Adults,Education,Less than High School,19.0,High School,15.2,1.3
2022,Pennsylvania,Cigarette Use among Adults,Education,Graduated from college,6.6,High School,16.4,0.4
2022,Pennsylvania,Cigarette Use among Adults,Education,Graduated from college,6.6,Less than High School,33.5,0.2
2022,Pennsylvania,Cigarette Use among Adults,Education,High School,16.4,Graduated from college,6.6,2.5
2022,Pennsylvania,Cigarette Use among Adults,Education,High School,16.4,Less than High School,33.5,0.5
2022,Pennsylvania,Cigarette Use among Adults,Education,Less than High School,33.5,Graduated from college,6.6,5.1
2022,Pennsylvania,Cigarette Use among Adults,Education,Less than High School,33.5,High School,16.4,2.0
2022,Rhode Island,Cigarette Use among Adults,Education,Graduated from college,5.1,High School,14.1,0.4
2022,Rhode Island,Cigarette Use among Adults,Education,Graduated from college,5.1,Less than High School,20.0,0.3
2022,Rhode Island,Cigarette Use among Adults,Education,High School,14.1,Graduated from college,5.1,2.8
2022,Rhode Island,Cigarette Use among Adults,Education,High School,14.1,Less than High School,20.0,0.7
2022,Rhode Island,Cigarette Use among Adults,Education,Less than High School,20.0,Graduated from college,5.1,3.9
2022,Rhode Island,Cigarette Use among Adults,Education,Less than High School,20.0,High School,14.1,1.4
2022,South Carolina,Cigarette Use among Adults,Education,Graduated from college,5.7,High School,16.9,0.3
2022,South Carolina,Cigarette Use among Adults,Education,Graduated from college,5.7,Less than High School,29.7,0.2
2022,South Carolina,Cigarette Use among Adults,Education,High School,16.9,Graduated from college,5.7,3.0
2022,South Carolina,Cigarette Use among Adults,Education,High School,16.9,Less than High School,29.7,0.6
2022,South Carolina,Cigarette Use among Adults,Education,Less than High School,29.7,Graduated from college,5.7,5.2
2022,South Carolina,Cigarette Use among Adults,Education,Less than High School,29.7,High School,16.9,1.8
2022,South Dakota,Cigarette Use among Adults,Education,Graduated from college,6.9,High School,16.8,0.4
2022,South Dakota,Cigarette Use among Adults,Education,Graduated from college,6.9,Less than High School,16.3,0.4
2022,South Dakota,Cigarette Use among Adults,Education,High School,16.8,Graduated from college,6.9,2.4
2022,South Dakota,Cigarette Use among Adults,Education,High School,16.8,Less than High School,16.3,1.0
2022,South Dakota,Cigarette Use among Adults,Education,Less than High School,16.3,Graduated from college,6.9,2.4
2022,South Dakota,Cigarette Use among Adults,Education,Less than High School,16.3,High School,16.8,1.0
2022,Tennessee,Cigarette Use among Adults,Education,Graduated from college,8.1,High School,19.4,0.4
2022,Tennessee,Cigarette Use among Adults,Education,Graduated from college,8.1,Less than High School,38.0,0.2
2022,Tennessee,Cigarette Use among Adults,Education,High School,19.4,Graduated from college,8.1,2.4
2022,Tennessee,Cigarette Use among Adults,Education,High School,19.4,Less than High School,38.0,0.5
2022,Tennessee,Cigarette Use among Adults,Education,Less than High School,38.0,Graduated from college,8.1,4.7
2022,Tennessee,Cigarette Use among Adults,Education,Less than High School,38.0,High School,19.4,2.0
2022,Texas,Cigarette Use among Adults,Education,Graduated from college,5.9,High School,12.8,0.5
2022,Texas,Cigarette Use among Adults,Education,Graduated from college,5.9,Less than High School,19.6,0.3
2022,Texas,Cigarette Use among Adults,Education,High School,12.8,Graduated from college,5.9,2.2
2022,Texas,Cigarette Use among Adults,Education,High School,12.8,Less than High School,19.6,0.7
2022,Texas,Cigarette Use among Adults,Education,Less than High School,19.6,Graduated from college,5.9,3.3
2022,Texas,Cigarette Use among Adults,Education,Less than High School,19.6,High School,12.8,1.5
2022,Utah,Cigarette Use among Adults,Education,Graduated from college,2.4,High School,7.8,0.3
2022,Utah,Cigarette Use among Adults,Education,Graduated from college,2.4,Less than High School,14.7,0.2
2022,Utah,Cigarette Use among Adults,Education,High School,7.8,Graduated from college,2.4,3.3
2022,Utah,Cigarette Use among Adults,Education,High School,7.8,Less than High School,14.7,0.5
2022,Utah,Cigarette Use among Adults,Education,Less than High School,14.7,Graduated from college,2.4,6.1
2022,Utah,Cigarette Use among Adults,Education,Less than High School,14.7,High School,7.8,1.9
2022,Vermont,Cigarette Use among Adults,Education,Graduated from college,5.0,High School,15.9,0.3
2022,Vermont,Cigarette Use among Adults,Education,Graduated from college,5.0,Less than High School,33.4,0.2
2022,Vermont,Cigarette Use among Adults,Education,High School,15.9,Graduated from college,5.0,3.2
2022,Vermont,Cigarette Use among Adults,Education,High School,15.9,Less than High School,33.4,0.5
2022,Vermont,Cigarette Use among Adults,Education,Less than High School,33.4,Graduated from college,5.0,6.7
2022,Vermont,Cigarette Use among Adults,Education,Less than High School,33.4,High School,15.9,2.1
2022,Virginia,Cigarette Use among Adults,Education,Graduated from college,5.4,High School,15.0,0.4
2022,Virginia,Cigarette Use among Adults,Education,Graduated from college,5.4,Less than High School,22.5,0.2
2022,Virginia,Cigarette Use among Adults,Education,High School,15.0,Graduated from college,5.4,2.8
2022,Virginia,Cigarette Use among Adults,Education,High School,15.0,Less than High School,22.5,0.7
2022,Virginia,Cigarette Use among Adults,Education,Less than High School,22.5,Graduated from college,5.4,4.2
2022,Virginia,Cigarette Use among Adults,Education,Less than High School,22.5,High School,15.0,1.5
2022,Washington,Cigarette Use among Adults,Education,Graduated from college,3.3,High School,12.3,0.3
2022,Washington,Cigarette Use among Adults,Education,Graduated from college,3.3,Less than High School,22.0,0.2
2022,Washington,Cigarette Use among Adults,Education,High School,12.3,Graduated from college,3.3,3.7
2022,Washington,Cigarette Use among Adults,Education,High School,12.3,Less than High School,22.0,0.6
2022,Washington,Cigarette Use among Adults,Education,Less than High School,22.0,Graduated from college,3.3,6.7
2022,Washington,Cigarette Use among Adults,Education,Less than High School,22.0,High School,12.3,1.8
2022,West Virginia,Cigarette Use among Adults,Education,Graduated from college,8.7,High School,21.6,0.4
2022,West Virginia,Cigarette Use among Adults,Education,Graduated from college,8.7,Less than High School,39.2,0.2
2022,West Virginia,Cigarette Use among Adults,Education,High School,21.6,Graduated from college,8.7,2.5
2022,West Virginia,Cigarette Use among Adults,Education,High School,21.6,Less than High School,39.2,0.6
2022,West Virginia,Cigarette Use among Adults,Education,Less than High School,39.2,Graduated from college,8.7,4.5
2022,West Virginia,Cigarette Use among Adults,Education,Less than High School,39.2,High School,21.6,1.8
2022,Wisconsin,Cigarette Use among Adults,Education,Graduated from college,5.2,High School,16.5,0.3
2022,Wisconsin,Cigarette Use among Adults,Education,Graduated from college,5.2,Less than High School,30.2,0.2
2022,Wisconsin,Cigarette Use among Adults,Education,High School,16.5,Graduated from college,5.2,3.2
2022,Wisconsin,Cigarette Use among Adults,Education,High School,16.5,Less than High School,30.2,0.6
2022,Wisconsin,Cigarette Use among Adults,Education,Less than High School,30.2,Graduated from college,5.2,5.8
2022,Wisconsin,Cigarette Use among Adults,Education,Less than High School,30.2,High School,16.5,1.8
2022,Wyoming,Cigarette Use among Adults,Education,Graduated from college,5.6,High School,18.2,0.3
2022,Wyoming,Cigarette Use among Adults,Education,Graduated from college,5.6,Less than High School,26.3,0.2
2022,Wyoming,Cigarette Use among Adults,Education,High School,18.2,Graduated from college,5.6,3.3
2022,Wyoming,Cigarette Use among Adults,Education,High School,18.2,Less than High School,26.3,0.7
2022,Wyoming,Cigarette Use among Adults,Education,Less than High School,26.3,Graduated from college,5.6,4.7
2022,Wyoming,Cigarette Use among Adults,Education,Less than High School,26.3,High School,18.2,1.5
2011,Alabama,Cigarette Use among Adults,Employment,Employed or Self,20.9,Homemaker or Student,13.7,1.5
2011,Alabama,Cigarette Use among Adults,Employment,Employed or Self,20.9,Retired,10.2,2.0
2011,Alabama,Cigarette Use among Adults,Employment,Employed or Self,20.9,Unable to work,33.9,0.6
2011,Alabama,Cigarette Use among Adults,Employment,Employed or Self,20.9,Unemployed,41.1,0.5
2011,Alabama,Cigarette Use among Adults,Employment,Homemaker or Student,13.7,Employed or Self,20.9,0.7
2011,Alabama,Cigarette Use among Adults,Employment,Homemaker or Student,13.7,Retired,10.2,1.3
2011,Alabama,Cigarette Use among Adults,Employment,Homemaker or Student,13.7,Unable to work,33.9,0.4
2011,Alabama,Cigarette Use among Adults,Employment,Homemaker or Student,13.7,Unemployed,41.1,0.3
2011,Alabama,Cigarette Use among Adults,Employment,Retired,10.2,Employed or Self,20.9,0.5
2011,Alabama,Cigarette Use among Adults,Employment,Retired,10.2,Homemaker or Student,13.7,0.7
2011,Alabama,Cigarette Use among Adults,Employment,Retired,10.2,Unable to work,33.9,0.3
2011,Alabama,Cigarette Use among Adults,Employment,Retired,10.2,Unemployed,41.1,0.2
2011,Alabama,Cigarette Use among Adults,Employment,Unable to work,33.9,Employed or Self,20.9,1.6
2011,Alabama,Cigarette Use among Adults,Employment,Unable to work,33.9,Homemaker or Student,13.7,2.5
2011,Alabama,Cigarette Use among Adults,Employment,Unable to work,33.9,Retired,10.2,3.3
2011,Alabama,Cigarette Use among Adults,Employment,Unable to work,33.9,Unemployed,41.1,0.8
2011,Alabama,Cigarette Use among Adults,Employment,Unemployed,41.1,Employed or Self,20.9,2.0
2011,Alabama,Cigarette Use among Adults,Employment,Unemployed,41.1,Homemaker or Student,13.7,3.0
2011,Alabama,Cigarette Use among Adults,Employment,Unemployed,41.1,Retired,10.2,4.0
2011,Alabama,Cigarette Use among Adults,Employment,Unemployed,41.1,Unable to work,33.9,1.2
2011,Alaska,Cigarette Use among Adults,Employment,Employed or Self,20.2,Homemaker or Student,22.8,0.9
2011,Alaska,Cigarette Use among Adults,Employment,Employed or Self,20.2,Retired,13.9,1.5
2011,Alaska,Cigarette Use among Adults,Employment,Employed or Self,20.2,Unable to work,42.6,0.5
2011,Alaska,Cigarette Use among Adults,Employment,Employed or Self,20.2,Unemployed,40.5,0.5
2011,Alaska,Cigarette Use among Adults,Employment,Homemaker or Student,22.8,Employed or Self,20.2,1.1
2011,Alaska,Cigarette Use among Adults,Employment,Homemaker or Student,22.8,Retired,13.9,1.6
2011,Alaska,Cigarette Use among Adults,Employment,Homemaker or Student,22.8,Unable to work,42.6,0.5
2011,Alaska,Cigarette Use among Adults,Employment,Homemaker or Student,22.8,Unemployed,40.5,0.6
2011,Alaska,Cigarette Use among Adults,Employment,Retired,13.9,Employed or Self,20.2,0.7
2011,Alaska,Cigarette Use among Adults,Employment,Retired,13.9,Homemaker or Student,22.8,0.6
2011,Alaska,Cigarette Use among Adults,Employment,Retired,13.9,Unable to work,42.6,0.3
2011,Alaska,Cigarette Use among Adults,Employment,Retired,13.9,Unemployed,40.5,0.3
2011,Alaska,Cigarette Use among Adults,Employment,Unable to work,42.6,Employed or Self,20.2,2.1
2011,Alaska,Cigarette Use among Adults,Employment,Unable to work,42.6,Homemaker or Student,22.8,1.9
2011,Alaska,Cigarette Use among Adults,Employment,Unable to work,42.6,Retired,13.9,3.1
2011,Alaska,Cigarette Use among Adults,Employment,Unable to work,42.6,Unemployed,40.5,1.1
2011,Alaska,Cigarette Use among Adults,Employment,Unemployed,40.5,Employed or Self,20.2,2.0
2011,Alaska,Cigarette Use among Adults,Employment,Unemployed,40.5,Homemaker or Student,22.8,1.8
2011,Alaska,Cigarette Use among Adults,Employment,Unemployed,40.5,Retired,13.9,2.9
2011,Alaska,Cigarette Use among Adults,Employment,Unemployed,40.5,Unable to work,42.6,1.0
2011,Arizona,Cigarette Use among Adults,Employment,Employed or Self,17.3,Homemaker or Student,11.2,1.5
2011,Arizona,Cigarette Use among Adults,Employment,Employed or Self,17.3,Retired,8.8,2.0
2011,Arizona,Cigarette Use among Adults,Employment,Employed or Self,17.3,Unable to work,25.9,0.7
